average_dew_point_f___float_value_to_nearest_hundredths_place,average_relative_humidity_____float_value_to_nearest_hundredths_place,average_sea_level_pressure_millibars___float_value_to_nearest_hundredths_place,average_temperature_c___float_value_to_nearest_hundredths_place,average_visibility_kilometers___float_value_to_nearest_hundredths_place,average_wind_speed_knots___float_value_to_nearest_hundredths_place,city_location_identifier__up_to_9_alphanumeric_characters_,cooling_degree_days_c___float_value_to_nearest_hundredths_place,heating_degree_days_c___float_value_to_nearest_hundredths_place,maximum_temperature_c___float_value_to_nearest_hundredths_place,minimum_temperature_c___float_value_to_nearest_hundredths_place,precipitation_integer_in_hundredths_of_a_millimeter___liquid_equivalent____0__is_used_for_trace_amounts_and___1__is_used_for_no_precipitation,valid_date_as_yyyymmdd
-2.94,78.9,1012.56,1.5,16.1,20.55,K06D,0.0,16.83,5.0,-2.0,334.0,2024-04-18
-5.67,82.74,1019.0,-2.5,12.72,18.36,K06D,0.0,20.83,0.0,-5.0,277.0,2024-04-19
-5.72,64.44,1024.42,2.0,16.1,14.76,K06D,0.0,16.33,9.0,-5.0,53.0,2024-04-20
-7.83,36.96,1016.29,6.5,16.1,10.38,K06D,0.0,11.83,15.0,-2.0,-1.0,2024-04-21
-2.22,42.66,1001.05,10.5,16.1,13.87,K06D,0.0,7.83,15.0,6.0,167.0,2024-04-22
-1.89,56.67,1014.93,6.5,16.1,15.16,K06D,0.0,11.83,12.0,1.0,240.0,2024-04-23
-7.0,34.88,1018.32,9.0,16.1,8.68,K06D,0.0,9.33,19.0,-1.0,-1.0,2024-04-24
-1.44,36.9,1008.5,14.5,16.1,12.77,K06D,0.0,3.83,24.0,5.0,2.0,2024-04-25
8.72,84.13,1004.1,14.5,11.27,11.47,K06D,0.0,3.83,22.0,7.0,1665.0,2024-04-26
3.56,83.87,1014.26,6.0,14.65,15.67,K06D,0.0,12.33,9.0,3.0,728.0,2024-04-27
-2.44,67.51,1017.3,3.5,16.1,8.68,K06D,0.0,14.83,10.0,-3.0,37.0,2024-04-28
1.94,94.32,1009.52,2.0,13.2,6.99,K06D,0.0,16.33,4.0,0.0,521.0,2024-04-29
3.06,94.37,1007.15,4.0,12.72,6.68,K06D,0.0,14.33,9.0,-1.0,72.0,2024-04-30
-3.11,84.41,1012.22,0.5,16.1,6.39,K08D,0.0,17.83,8.0,-7.0,-1.0,2024-04-01
-1.44,71.21,1016.63,4.0,16.1,11.77,K08D,0.0,14.33,9.0,-1.0,-1.0,2024-04-02
-2.17,52.85,1014.26,6.0,16.1,9.88,K08D,0.0,12.33,12.0,0.0,-1.0,2024-04-03
-2.11,57.93,1013.58,6.5,16.1,9.08,K08D,0.0,11.83,13.0,0.0,-1.0,2024-04-04
-4.39,44.49,1010.19,8.5,16.1,17.26,K08D,0.0,9.83,15.0,2.0,-1.0,2024-04-05
-0.61,56.57,1006.13,8.5,16.1,17.76,K08D,0.0,9.83,15.0,2.0,-1.0,2024-04-06
-0.39,62.71,1008.16,7.5,16.1,10.68,K08D,0.0,10.83,13.0,2.0,362.0,2024-04-07
1.06,78.28,1008.84,5.0,16.1,5.48,K08D,0.0,13.33,12.0,-2.0,-1.0,2024-04-08
2.61,69.07,1007.48,8.5,16.1,11.77,K08D,0.0,9.83,15.0,2.0,-1.0,2024-04-09
-0.22,58.4,1011.89,7.0,16.1,12.37,K08D,0.0,11.33,14.0,0.0,-1.0,2024-04-10
